model,auc,auc_sd,precision,precision_sd,recall,recall_sd,f1,f1_sd,npv,npv_sd,tp_threshold,tp_threshold_sd
RandomForestClassifier,0.792,0.016,0.328,0.032,0.909,0.011,0.481,0.034,0.938,0.01,0.271,0.016
XGBClassifier,0.792,0.016,0.336,0.041,0.909,0.01,0.489,0.044,0.94,0.009,0.123,0.013
VotingClassifier,0.792,0.018,0.329,0.029,0.907,0.006,0.482,0.032,0.938,0.009,0.194,0.007
LogisticRegression,0.78,0.021,0.324,0.03,0.907,0.008,0.477,0.033,0.935,0.012,0.304,0.025
SVC,0.779,0.02,0.32,0.033,0.914,0.013,0.473,0.036,0.938,0.009,0.12,0.011
MLPClassifier,0.778,0.018,0.325,0.028,0.91,0.011,0.479,0.031,0.938,0.01,0.124,0.014
KNeighborsClassifier,0.724,0.015,0.27,0.023,0.927,0.019,0.418,0.028,0.908,0.033,0.076,0.012
