tn,fp,fn,tp,prev,NPV,PPV
1202,1743,13,142,0.05,0.989,0.075
1138,1652,27,283,0.1,0.977,0.146
1012,1468,54,566,0.2,0.949,0.278
960,1395,65,680,0.24,0.937,0.328
885,1285,81,849,0.3,0.916,0.398
759,1101,108,1132,0.4,0.875,0.507
632,918,135,1415,0.5,0.824,0.607
506,734,162,1698,0.6,0.757,0.698
379,551,189,1981,0.7,0.667,0.782
253,367,216,2264,0.8,0.539,0.861
126,184,243,2547,0.9,0.341,0.933
