model,auc,auc_sd,f1,f1_sd,npv,npv_sd,precision,precision_sd,recall,recall_sd
RandomForestClassifier,0.796,0.017,0.486,0.042,0.936,0.01,0.334,0.038,0.904,0.005
XGBClassifier,0.796,0.019,0.487,0.042,0.938,0.01,0.334,0.038,0.907,0.005
LogisticRegression,0.783,0.022,0.471,0.038,0.933,0.013,0.319,0.034,0.91,0.01
SVC,0.779,0.022,0.473,0.038,0.933,0.011,0.321,0.035,0.908,0.012
KNeighborsClassifier,0.714,0.019,0.416,0.027,0.913,0.021,0.269,0.022,0.93,0.017
