model,auc,auc_sd,precision,precision_sd,recall,recall_sd,f1,f1_sd,npv,npv_sd,tp_threshold,tp_threshold_sd
VotingClassifier,0.813,0.017,0.35,0.04,0.909,0.005,0.504,0.043,0.943,0.008,0.19,0.018
XGBClassifier,0.811,0.017,0.353,0.042,0.912,0.014,0.507,0.045,0.946,0.01,0.12,0.014
RandomForestClassifier,0.809,0.019,0.349,0.04,0.91,0.01,0.503,0.043,0.944,0.009,0.268,0.021
LogisticRegression,0.802,0.018,0.339,0.035,0.915,0.012,0.494,0.039,0.945,0.009,0.29,0.028
SVC,0.801,0.017,0.341,0.036,0.91,0.007,0.495,0.039,0.942,0.01,0.121,0.012
MLPClassifier,0.798,0.023,0.349,0.043,0.905,0.004,0.502,0.046,0.941,0.008,0.121,0.018
KNeighborsClassifier,0.741,0.015,0.279,0.024,0.926,0.025,0.428,0.028,0.921,0.02,0.076,0.012
