,auc,f1,model,npv,precision,recall
0,0.8063816811296827,0.4939271255060729,RandomForestClassifier,0.9343971631205674,0.34026369168356996,0.9006711409395973
1,0.7874389774718934,0.4711235561778089,LogisticRegression,0.9271255060728745,0.31865530303030304,0.9033557046979865
2,0.8078433719488736,0.5018698578908003,XGBClassifier,0.9368061485909479,0.3478486262312079,0.9006711409395973
3,0.7852468687214124,0.47792022792022787,SVC,0.9286403085824494,0.32525448376151234,0.9006711409395973
4,0.7226951082232577,0.422724496029322,KNeighborsClassifier,0.9071803852889667,0.2736259391063662,0.9288590604026845
