model,auc,auc_sd,f1,f1_sd,npv,npv_sd,precision,precision_sd,recall,recall_sd
XGBClassifier,0.808,0.018,0.503,0.046,0.943,0.008,0.349,0.043,0.908,0.01
RandomForestClassifier,0.807,0.016,0.491,0.048,0.943,0.009,0.337,0.045,0.913,0.013
LogisticRegression,0.801,0.018,0.492,0.037,0.942,0.006,0.338,0.034,0.91,0.011
SVC,0.799,0.016,0.491,0.04,0.939,0.009,0.338,0.037,0.906,0.006
KNeighborsClassifier,0.723,0.017,0.416,0.028,0.92,0.021,0.268,0.024,0.939,0.02
