model,auc,auc_sd,f1,f1_sd,npv,npv_sd,precision,precision_sd,recall,recall_sd
XGBClassifier,0.813,0.017,0.515,0.041,0.944,0.008,0.361,0.039,0.904,0.004
RandomForestClassifier,0.809,0.017,0.497,0.043,0.94,0.011,0.344,0.039,0.906,0.007
LogisticRegression,0.802,0.017,0.491,0.039,0.94,0.009,0.337,0.035,0.908,0.004
SVC,0.801,0.016,0.493,0.039,0.941,0.008,0.339,0.036,0.908,0.008
MLPClassifier,0.801,0.018,0.49,0.038,0.939,0.009,0.336,0.035,0.907,0.008
KNeighborsClassifier,0.743,0.016,0.431,0.032,0.921,0.019,0.281,0.027,0.928,0.015
