model,auc,auc_sd,f1,f1_sd,npv,npv_sd,precision,precision_sd,recall,recall_sd
XGBClassifier,0.811,0.018,0.502,0.036,0.943,0.007,0.348,0.034,0.907,0.008
VotingClassifier,0.811,0.017,0.5,0.043,0.94,0.01,0.347,0.04,0.903,0.004
RandomForestClassifier,0.807,0.018,0.492,0.048,0.94,0.008,0.34,0.046,0.908,0.009
MLPClassifier,0.803,0.019,0.492,0.043,0.941,0.012,0.338,0.039,0.911,0.008
LogisticRegression,0.802,0.018,0.494,0.039,0.945,0.009,0.339,0.035,0.915,0.012
SVC,0.801,0.017,0.495,0.039,0.942,0.01,0.341,0.036,0.91,0.007
KNeighborsClassifier,0.741,0.015,0.428,0.028,0.921,0.02,0.279,0.024,0.926,0.025
