model,auc,auc_sd,precision,precision_sd,recall,recall_sd,f1,f1_sd,npv,npv_sd,tp_threshold,tp_threshold_sd
XGBClassifier,0.808,0.016,0.351,0.041,0.906,0.005,0.505,0.043,0.942,0.007,0.117,0.013
VotingClassifier,0.807,0.018,0.344,0.039,0.904,0.004,0.497,0.042,0.94,0.008,0.191,0.016
RandomForestClassifier,0.805,0.019,0.336,0.044,0.908,0.009,0.489,0.048,0.939,0.01,0.259,0.017
LogisticRegression,0.794,0.02,0.333,0.035,0.907,0.009,0.486,0.037,0.938,0.01,0.295,0.024
SVC,0.793,0.018,0.331,0.036,0.911,0.007,0.484,0.039,0.94,0.009,0.119,0.01
MLPClassifier,0.792,0.018,0.337,0.028,0.906,0.003,0.491,0.03,0.939,0.008,0.121,0.018
KNeighborsClassifier,0.734,0.018,0.279,0.023,0.924,0.017,0.428,0.027,0.918,0.019,0.08,0.0
