model,auc,auc_sd,f1,f1_sd,npv,npv_sd,precision,precision_sd,recall,recall_sd
XGBClassifier,0.79,0.014,0.485,0.034,0.947,0.008,0.33,0.031,0.923,0.015
RandomForestClassifier,0.789,0.017,0.483,0.04,0.94,0.01,0.329,0.036,0.913,0.012
LogisticRegression,0.779,0.021,0.474,0.031,0.936,0.01,0.321,0.028,0.91,0.008
SVC,0.777,0.02,0.474,0.032,0.934,0.008,0.322,0.029,0.907,0.008
MLPClassifier,0.762,0.023,0.461,0.027,0.931,0.018,0.309,0.023,0.913,0.013
KNeighborsClassifier,0.723,0.016,0.413,0.03,0.914,0.027,0.265,0.025,0.943,0.024
