model,auc,auc_sd,f1,f1_sd,npv,npv_sd,precision,precision_sd,recall,recall_sd
XGBClassifier,0.792,0.015,0.489,0.038,0.938,0.009,0.336,0.035,0.904,0.005
RandomForestClassifier,0.788,0.017,0.476,0.038,0.94,0.016,0.323,0.036,0.915,0.025
MLPClassifier,0.78,0.017,0.475,0.027,0.932,0.01,0.323,0.025,0.902,0.002
LogisticRegression,0.779,0.02,0.475,0.031,0.933,0.009,0.323,0.028,0.904,0.004
SVC,0.778,0.019,0.475,0.031,0.936,0.009,0.322,0.028,0.91,0.01
KNeighborsClassifier,0.722,0.015,0.406,0.032,0.896,0.028,0.26,0.027,0.94,0.02
